Date,Close
2020-01-01,5.99
2020-02-01,6.12
2020-03-01,4.58
2020-04-01,5.85
2020-05-01,7.29
2020-06-01,8.56
2020-07-01,9.94
2020-08-01,11.82
2020-09-01,9.84
2020-10-01,11.19
2020-11-01,13.24
2020-12-01,13.23
2021-01-01,14.11
2021-02-01,14.75
2021-03-01,13.5
2021-04-01,16.21
2021-05-01,15.92
2021-06-01,19.67
2021-07-01,19.28
2021-08-01,22.71
2021-09-01,20.67
2021-10-01,24.58
2021-11-01,33.38
2021-12-01,29.46
2022-01-01,26.98
2022-02-01,23.59
2022-03-01,27.05
2022-04-01,21.36
2022-05-01,17.48
2022-06-01,15.94
2022-07-01,18.34
2022-08-01,17.72
2022-09-01,12.9
2022-10-01,11.05
2022-11-01,16.55
2022-12-01,14.64
2023-01-01,14.31
2023-02-01,18.8
2023-03-01,27.84
2023-04-01,27.65
2023-05-01,39.27
2023-06-01,42.35
2023-07-01,46.72
2023-08-01,49.27
2023-09-01,43.52
2023-10-01,40.59
2023-11-01,50.5
2023-12-01,49.52
2024-01-01,61.38
2024-02-01,79.14
2024-03-01,90.36
2024-04-01,76.25
2024-05-01,104.25
2024-06-01,129.61
2024-07-01,117.93
2024-08-01,116.0
2024-09-01,116.78
2024-10-01,139.56
2024-11-01,148.88
2024-12-01,130.65
